title,views
Lord Knows (Ft. Rick Ross),962888.0
Odio (Ft. Drake),946835.0
Don't Matter to Me,943747.0
Pop Style (Single Version) (Ft. JAY-Z & Kanye West),917554.0
Used to This (Ft. Drake),917180.0
Miss Me (Ft. Lil Wayne),910659.0
4PM in Calabasas,905008.0
Amen (Ft. Drake),900671.0
Hype,895348.0
30 for 30 Freestyle,894077.0
Good Ones Go (Interlude),883333.0
In the Morning (Ft. Drake),870085.0
Girls Need Love (Remix),862221.0
Make Me Proud (Ft. Nicki Minaj),852000.0
You & The 6,847519.0
No Stylist (Ft. Drake),846615.0
Lose You,842039.0
No Shopping (Ft. Drake),837184.0
Buried Alive Interlude (Ft. Kendrick Lamar),820334.0
Madonna,809567.0
Right Above It (Ft. Drake),802705.0
Over,802321.0
Still Here,798882.0
Now & Forever,794648.0
We'll Be Fine (Ft. Birdman),771657.0
Sweeterman (Remix),755567.0
Ice Melts (Ft. Young Thug),747764.0
The Ride (Ft. The Weeknd),735042.0
Lemon Pepper Freestyle (Ft. Rick Ross),732015.0
No Long Talk (Ft. Giggs),720226.0
Club Paradise,717311.0
DnF (Ft. Drake & Future),715216.0
What's My Name? (Ft. Drake),714039.0
Light Up (Ft. JAY-Z),706913.0
8 Out of 10,698732.0
That's How You Feel,689515.0
Elevate,681679.0
4422 (Ft. Sampha),674884.0
Change Locations,669677.0
Behind Barz (Link Up TV Freestyle),668661.0
Live from the Gutter,666090.0
Live For (Ft. Drake),660807.0
Survival,657748.0
Pain 1993 (Ft. Playboi Carti),657537.0
Talk Up (Ft. JAY-Z),652779.0
No Complaints (Ft. Drake & Offset),652083.0
Seeing Green,644186.0
Moment 4 Life (Ft. Drake),641536.0
Can’t Take a Joke,618880.0
Can't Have Everything,616980.0
We Made It Freestyle (Ft. Soulja Boy),615095.0
Finesse,614825.0
When To Say When,613935.0
March 14,612823.0
Can I (Ft. Beyoncé),610671.0
Get It Together (Ft. Black Coffee & Jorja Smith),607397.0
Sandra's Rose,602419.0
Fancy (Ft. Swizz Beatz & T.I.),601804.0
Desires (Ft. Future),592577.0
Omertà,586935.0
Never Recover,576514.0
Blue Tint,572284.0
2 On / Thotful (Ft. Drake),570376.0
I'm the Plug,566662.0
Dreams Money Can Buy,566323.0
Aston Martin Music (Ft. Chrisette Michele & Drake),561352.0
Summer Games,560172.0
"Deuces (Remix) (Ft. André 3000, Drake, Fabolous, Kanye West, Rick Ross & T.I.)",557420.0
Buy a Heart (Ft. Meek Mill),554938.0
Jorja Interlude (Ft. Jorja Smith),549066.0
Jodeci Freestyle (Ft. J. Cole),528531.0
Wednesday Night Interlude (Ft. PARTYNEXTDOOR),525342.0
Up All Night (Ft. Nicki Minaj),517401.0
Since Way Back (Ft. PARTYNEXTDOOR),514431.0
Plastic Bag,509719.0
Gold Roses (Ft. Drake),507042.0
Fireworks (Ft. Alicia Keys),504835.0
Madiba Riddim,504526.0
Is There More,503272.0
Not Nice,500879.0
Glow (Ft. Kanye West),492123.0
My Side,490400.0
Why You Always Hatin? (Ft. Drake & Kamaiyah),487979.0
Wanna Know (Remix) (Ft. Drake),474425.0
Paris Morton Music,459851.0
Grammys (Ft. Future),458048.0
Successful (Ft. Lil Wayne & Trey Songz),456065.0
You're Mines Still (Remix) (Ft. Drake),455377.0
What's Next,446290.0
Peak,445403.0
Time Flies,444675.0
November 18th,444362.0
Shut It Down (Ft. The-Dream),443130.0
Over Here (Ft. Drake),436696.0
Come Closer (Ft. Drake),432990.0
The Resistance,432542.0
After Dark (Ft. Static Major & Ty Dolla $ign),410854.0
Final Fantasy,406700.0
Heat of the Moment,404472.0
Schemin' Up (Ft. Drake & Preme),394425.0
Grindin' (Ft. Drake),386176.0
Nothings Into Somethings,385241.0
9AM in Dallas,385179.0
Summers Over Interlude (Ft. Majid Jordan),379763.0
It's Good (Ft. Drake & Jadakiss),379059.0
Say What's Real,365323.0
Thank Me Now,364763.0
Mr. Right Now (Ft. Drake),363492.0
Losses,363202.0
Ratchet Happy Birthday,362889.0
Controlla (Leak) (Ft. Popcaan),361784.0
Big Amount (Ft. Drake),358118.0
Free Spirit (Ft. Rick Ross),354436.0
The Motto (Remix) (Ft. Lil Wayne & Tyga),343066.0
Family Feud (Ft. Drake),342418.0
"Every Girl (Ft. Drake, Gudda Gudda, Jae Millz, Lil Wayne & Mack Maine)",338815.0
Fear,338523.0
"Life Is Good (Remix) (Ft. DaBaby, Drake & Lil Baby)",333779.0
Find Your Love,331769.0
Not You Too (Ft. Chris Brown),330951.0
Solid (Ft. Drake),330932.0
Skepta Interlude (Ft. Skepta),330155.0
Karaoke,324623.0
Uptown (Ft. Bun B & Lil Wayne),311385.0
Enough Said (Ft. Drake),309881.0
Live Up to My Name,308241.0
Unforgettable (Ft. Jeezy),300771.0
