title,views
Jealous (Ft. Kendrick Lamar),315326.0
​untitled 06 | 06.30.2014.,315085.0
Untitled 2 (Blue Faces),313713.0
Tammy's Song (Her Evils),304744.0
How Many Drinks? (Remix) (Ft. Kendrick Lamar),304351.0
Growing Apart (To Get Closer) (Ft. Jhené Aiko),300677.0
"Buy the World (Ft. Future, Kendrick Lamar & Lil Wayne)",298325.0
Numb Numb Juice,293577.0
Give It 2 U (Ft. Kendrick Lamar),293513.0
"Westside, Right on Time (Ft. Jeezy)",292091.0
All The Stars (Album Version),291503.0
Hood Gone Love It (Ft. Kendrick Lamar),290864.0
H.O.C.,281898.0
Never Catch Me (Ft. Kendrick Lamar),281825.0
It's On Again (Ft. Kendrick Lamar),278749.0
Dedication (Ft. Kendrick Lamar),268735.0
Collect Calls (Ft. Kent Jamz),268698.0
Hair Down (Ft. Kendrick Lamar),264746.0
​untitled 04 | 08.14.2014.,259897.0
The Heart Pt. 3 (Will You Let It Die?) (Ft. Ab-Soul & Jay Rock),259414.0
"Darkside/Gone (Ft. Kendrick Lamar, Marsha Ambrosius & Mez)",258182.0
Wow Freestyle (Ft. Kendrick Lamar),257420.0
I Am,253489.0
Yeah Right,252679.0
Classic Man (Remix) (Ft. Kendrick Lamar),250181.0
ORANGE SODA,238871.0
Solo Dolo Part II (Ft. Kendrick Lamar),233846.0
A1 Everything (Ft. Kendrick Lamar),232196.0
Opps,231892.0
Really Be (Smokin N Drinkin) (Ft. Kendrick Lamar),226828.0
American Dream (Ft. J. Cole & Kendrick Lamar),225990.0
Turn Me Up (Ft. Kendrick Lamar),222433.0
See No Evil (Ft. Kendrick Lamar & Tank),211453.0
Temptation (Ft. JaVonté),210981.0
Monster Freestyle,210231.0
"Genocide (Ft. Candice Pillay, Kendrick Lamar & Marsha Ambrosius)",209463.0
Michael Jordan (Ft. ScHoolboy Q),206766.0
Seasons,204531.0
By Any Means,192122.0
Faith (Ft. BJ the Chicago Kid & Punch),188953.0
Average Joe,186331.0
Look Over Your Shoulder (Ft. Kendrick Lamar),177711.0
"R.I.P. (Remix) (Ft. Chris Brown, Kendrick Lamar & YG)",176869.0
Say Wassup,176633.0
Give It 2 U (Remix) (Ft. 2 Chainz & Kendrick Lamar),172228.0
Chapter Six,171600.0
WIN,171201.0
P&P 1.5 (Ft. Ab-Soul),168375.0
Swimming Pools (Black Hippy Remix) (Ft. Black Hippy),165355.0
County Building Blues,165071.0
Sacrilegious,164540.0
On Me (Ft. Kendrick Lamar),164337.0
Overtime (Ft. Justine Skye & Miguel),163349.0
Conrad Tokyo (Ft. Jack White & Kendrick Lamar),161085.0
Tints (Ft. Kendrick Lamar),159484.0
Pay for It (Ft. Chantal Kreviazuk & Kendrick Lamar),155612.0
The Heart Pt. 1,153613.0
Bloody Waters,152538.0
YOLO (Ft. Adam Levine & Kendrick Lamar),150345.0
Redemption,149989.0
She Needs Me (Ft. JaVonté),148791.0
Another Nigga  (To Pimp a Butterfly),143265.0
"They Ready (Ft. Big K.R.I.T., J. Cole & Kendrick Lamar)",142979.0
Rolling Stone (Ft. Black Hippy),141325.0
Dangerous (Ft. Kid Cudi),138819.0
"100 (Ft. Kendrick Lamar & Royce da 5'9"")",138455.0
Floating (Ft. 21 Savage),137226.0
P&P (Ft. Ab-Soul),137038.0
CrasH,136081.0
The Recipe (Black Hippy Remix) (Ft. Black Hippy),135376.0
Alien Girl (Today With Her),134988.0
His Pain II (Ft. Kendrick Lamar),134800.0
"B-Boyz (Ft. Ace Hood, Birdman, Kendrick Lamar & Mack Maine)",130270.0
Birds & The Beez (Ft. Kendrick Lamar),129661.0
Beyonce,129607.0
Untitled 3 (Grammy Performance),127289.0
Momma I Hit a Lick (Ft. Kendrick Lamar),126909.0
I Hate You,125289.0
Cloud 10,123220.0
Don't Don't Do It!,122695.0
Easy Bake (Ft. Kendrick Lamar & SZA),122396.0
CHopstix,118851.0
6'7' Freestyle (Ft. ScHoolboy Q),117023.0
"She Needs Me (Remix) (Ft. DOM KENNEDY, JaVonté & Murs)",116287.0
We Ball (Ft. Kendrick Lamar),114826.0
Barbed Wire (Ft. Ash Riser),112523.0
Pyrex* (Ft. Dr. Dre),105857.0
"I'm On 2.0 (Ft. Big K.R.I.T., B.o.B, Bun B, Gudda Gudda, Jadakiss, J. Cole, Kendrick Lamar, Mark Morrison & Tyga)",104971.0
NILE,104603.0
"2011 BET Hip Hop Awards - Indie Meets Mainstream Cypher (Ft. Big K.R.I.T., B.o.B, Kendrick Lamar, Machine Gun Kelly & Tech N9ne)",104476.0
Chapter Ten,103907.0
"LA (Ft. Brandy, James Fauntleroy & Kendrick Lamar)",89175.0
​hooligan,88490.0
Power (Ft. Kendrick Lamar & Lance Skiiiwalker),87901.0
The Mantra,86973.0
"Push Thru (Ft. Curren$y, Glen Reynolds & Kendrick Lamar)",86620.0
Dreams (Ft. Punch),86343.0
Kendrick Lamar,84882.0
Get Out of Your Own Way (Ft. Kendrick Lamar),84844.0
"All Day (Kendrick Lamar Reference) (Ft. Allan Kingdom, Kendrick Lamar, Paul McCartney & Theophilus London)",84747.0
Let Me Be Me,83132.0
Best Rapper Under 25,81899.0
Is It Love? (Ft. Angela McCluskey),81692.0
R.O.T.C (Interlude) (Ft. BJ the Chicago Kid),81351.0
God Is Gangsta - Short Film (Ft. Kendrick Lamar),80598.0
5200,78998.0
Alright (Music Video),76791.0
Ride Good (Ft. B. Smyth),76781.0
Vanity Slaves,75942.0
"100 Favors (Ft. Birdman, Detail & Kendrick Lamar)",75670.0
Heaven & Hell (Ft. Alori Joh),75321.0
Moscato (Ft. Kendrick Lamar),74197.0
Swimming Pools,73325.0
Night of the Living Junkies,70251.0
Kendrick Lamar's Interlude (Ft. Kendrick Lamar),69808.0
Walk on By (Ft. Kendrick Lamar),69713.0
Backwards (Ft. Tame Impala),69294.0
War Is My Love,68747.0
Black THougHts,67733.0
Rapper Shit (Ft. Kendrick Lamar),67709.0
Holy Ghost (Remix) (Ft. Kendrick Lamar),67465.0
Last Real Nigga Alive,66627.0
Kites,65308.0
Wanna Be Heard,64917.0
"Bend Ya (Remix) (Ft. BLESSED, Frank Ocean, Kendrick Lamar & Shawn Chrystopher)",64650.0
God Is Gangsta,63477.0
Tap Out (Ft. Jeremih),61351.0
I Do This (Ft. Jay Rock),61014.0
A Little Appalled,60177.0
Drunk (Ft. 6LACK),59250.0
A Milli (Freestyle),58810.0
The Relevant,58696.0
Showin' Love,57781.0
Redemption (Ft. SZA),57227.0
"2012 BET Hip Hop Awards - Cypher 5 (Ft. DJ Quik, E-40, Kendrick Lamar, Kurupt, Snoop Dogg, Xzibit & YG)",56862.0
2013 Yeezus Tour Dates (Ft. Kendrick Lamar),56014.0
I Am (Interlude),55623.0
HUMBLE. (SKRILLEX REMIX),55608.0
2018 Grammys Performance,55299.0
Celebration,54932.0
Funkmaster Flex Freestyle,52380.0
Rigamortis (Remix) (Ft. Busta Rhymes),51545.0
Compton State of Mind (Ft. Alori Joh),51412.0
"Bitch, Don't Kill My Vibe (International Remix) (Ft. Emeli Sandé)",50796.0
King's Dead (Album Version) (Ft. Future),50520.0
​untitled 07 | levitate,50060.0
No Joke (Ft. Ab-Soul),49846.0
Gang Gang,49614.0
"Kendrick Lamar's ""i"" Lyric Video",48265.0
Redemption Interlude,47976.0
Determined (Ft. Ash Riser),47914.0
Lies (Ft. Ty Dolla $ign & YG),47380.0
Live Again (Ft. CurT@!n$ & Kendrick Lamar),46730.0
Today (Ft. JaVonté),44700.0
American Soul,44038.0
Phone Home (Ft. Punch),43603.0
Fire,43470.0
"I Do This (Remix) (Ft. Brown, Skeme & U-N-I)",42929.0
That's Me Right There (Ft. Kendrick Lamar),42843.0
Prayer,42776.0
Two Presidents (Ft. Kendrick Lamar),42468.0
Let Us Move On (Ft. Kendrick Lamar),42257.0
The New Cupid (Ft. Kendrick Lamar),41518.0
Zip That Chop That,41451.0
West Coast Wu-Tang (Ft. Ab-Soul & Punch),41146.0
Street Dreamin' (Ft. Kendrick Lamar),41000.0
ES Tales,40913.0
For the Girlfriends (Ft. Ab-Soul),38697.0
​i (Live Performance on SNL),37859.0
I Love Music (Ft. Kendrick Lamar & Marcus Yates),37030.0
Vanity Slaves Pt. 2 (Ft. Gucci Mane),36279.0
GQ Man of The Year 2013 Freestyle,36193.0
Hell Yeah (Ft. ScHoolboy Q),35835.0
Tim Westwood Freestyle,35501.0
Growing Apart Too (Ft. Hope & Kendrick Lamar),35061.0
Sex With Society,34353.0
I'm Ya Dogg (Ft. Kendrick Lamar & Rick Ross),34317.0
"XXL Freshmen 2011 Cypher - Part 2 (Ft. CyHi The Prynce, Kendrick Lamar, Lil B & Yelawolf)",34263.0
Vent (Ft. Baby Keem),33147.0
Code Red (Ft. Kendrick Lamar),32525.0
Far From Here (Ft. ScHoolboy Q),32143.0
World Negatives (Ft. Ab-Soul),32045.0
Shock the World (Ft. BJ the Chicago Kid),31640.0
Mr. Carter (Ft. Lil Wayne),31048.0
Young & Black,31016.0
Thanksgiving (Ft. Rapper Big Pooh),30678.0
Murder (Ft. Kendrick Lamar & Scarface),30428.0
Goosebumps (Remix),29998.0
Compton Chemistry,29593.0
Alright (BET Version),29467.0
Liberated (Father Stretch My Hands Demo) (Ft. Kendrick Lamar),29262.0
Bitch I'm In The Club,28889.0
Dumb It Down,28700.0
Textbook Stuff (Ft. Kendrick Lamar),28686.0
"Bitch, Don't Kill My Vibe (Original Version) (Ft. Lady Gaga)",28273.0
Catch a Fade (Ft. Droop-E & Kendrick Lamar),27927.0
Yah / Element (Medley),27768.0
Flower Child (Ft. Kendrick Lamar),27639.0
It's Alive (Ft. Kendrick Lamar),26368.0
Kendrick Lamar: Rapper of the Year - GQ (Ft. GQ Magazine & Steve Marsh),26074.0
"My Way (Ft. Common, Kendrick Lamar & Lloyd)",26002.0
Crime (Ft. Kendrick Lamar),25828.0
Kurupted,25813.0
LigHt Years AHead (Sky HigH) (Ft. Kendrick Lamar),25663.0
Do It Again (Ft. Kendrick Lamar & Wiz Khalifa),24663.0
Sail (TDE Remix) (Ft. Ab-Soul & Kendrick Lamar),24311.0
Dear Moleskine (2012) (Ft. Kendrick Lamar),24297.0
His Pain,23742.0
Don't Understand,23690.0
Better Off (Ft. Kendrick Lamar),23632.0
K104 Halloween Freestyle,22986.0
Black Hippy Freestyle,22897.0
For the Homies,22591.0
Trip,22231.0
Day in the Life (Ft. Kendrick Lamar),22079.0
Play with Fire,22011.0
Intro (HOVA Song Freestyle),21656.0
Real 92.3 Freestyle,21634.0
Show Stop,21177.0
"Ridin' Roun Town (Remix) (Ft. C-San, DOM KENNEDY & Kendrick Lamar)",21144.0
Misunderstood (Ft. Jay Rock),21103.0
Hustla's Story (Ft. Kendrick Lamar),20931.0
Uncle Bobby & Jason Keaton (Ft. JaVonté),20916.0
My People (Ft. Jay Rock),20752.0
"Welcome to C4 (Ft. Ab-Soul, BO (rapper), Jay Rock & ScHoolboy Q)",20411.0
"Fuckin' Problems (Lost Verse) (Ft. 2 Chainz, A$AP Rocky & Drake)",20268.0
Next To Me (Remix) (Ft. Kendrick Lamar),20075.0
I Had No Idea (Ft. Kendrick Lamar),20018.0
"Ain’t That Funkin Kinda Hard On You? (We Ain’t Never Gonna Stop Remix) (Ft. George Clinton, Ice Cube & Kendrick Lamar)",19987.0
Gotta Love Me (Ft. Baby Keem),19914.0
Looks Good With Trouble (Remix) (Ft. Kendrick Lamar),19797.0
Troopers,19683.0
Poetic Justice (Ft. Q-Tip),19482.0
Imagine (Ft. Jay Rock & Punch),19347.0
Blame God,19113.0
"Tony Touch Shade 45 Freestyle (Ft. Ab-Soul, Jay Rock, Kendrick Lamar & ScHoolboy Q)",19009.0
Somebody,18713.0
The Best Rapper Alive,18623.0
Constipation (Ft. Black Hippy),18596.0
XXL Freshmen Freestyle,18365.0
"Get Bizy (Ft. Bad Lucc, Kendrick Lamar & Kurupt)",18318.0
2Nite (Ft. Jeremih & Kendrick Lamar),18317.0
"On Some Other Shit (Ft. Ab-Soul, Jay Rock, Kendrick Lamar & ScHoolboy Q)",18312.0
Shadow Of Death,17975.0
BET BackRoom Freestyle (Ft. BET),17880.0
PARTYNAUSEOUS,17870.0
Elbows (Ft. Kendrick Lamar),17493.0
Outrageous,17442.0
Vegas (Ft. Emily Main),17355.0
Thuggin' (Ft. Kendrick Lamar),17252.0
Thirsty (Ft. CyHi The Prynce & Kendrick Lamar),17113.0
The Look Of Lust (Ft. Kendrick Lamar & Shalonda),16987.0
Touch Down,16512.0
HUMBLE.,16472.0
My Mind Drifts,16420.0
OnDaSpot Freestyle (Ft. Kendrick Lamar),15994.0
Little Johnny,15974.0
Skill Still Appeal,15947.0
Traffic Jam (Easy Bake Remix) (Ft. Kendrick Lamar & SZA),15876.0
Gang Member,15791.0
Colors (Ft. Kendrick Lamar & Lil Wayne),15267.0
Blood Sport (Freestyle),15004.0
TDE Roll Call,15004.0
Scenario,14876.0
History of Rap 6 (Ft. Justin Timberlake),14848.0
History of Rap 5 (Ft. Justin Timberlake),14576.0
Picture Me Rollin' (Remix),14407.0
"""Alright"" Video Breakdown (Ft. Kendrick Lamar)",14304.0
G Code,14224.0
Grammy 2016 Performance,13902.0
Hub City's Wild Side,13672.0
Don't Wanna Know (Extended Version) (Ft. Kendrick Lamar),13661.0
"Enjoy (West Coastin') (Ft. Kendrick Lamar, Murs & Warren G)",13519.0
Friend of Mine,13496.0
Evil (Ft. Kendrick Lamar),13411.0
"Heroin (Ft. Isaiah Rashad, Jay Rock, Lance Skiiiwalker, Punch & SZA)",13322.0
The Trials of Kendrick Lamar (Ft. Kendrick Lamar),13175.0
LA,13171.0
Sing That Shit (20syl Juicy Remix),13152.0
Loved Ones (Ft. SZA),13086.0
Bend Ya (Official) (Ft. Frank Ocean & Kendrick Lamar),12887.0
CHop Stix 1.1 (Demo) (Ft. Kendrick Lamar),12687.0
The Only Nigga,12517.0
"Hot 97 Interview on ""Control""",12432.0
Fade to Black,12270.0
Pray for Me (Ft. Jay Rock & Kendrick Lamar),12268.0
One Shot Kill,12207.0
Enjoy Life (Ft. Ab-Soul),12148.0
SUPER: Kendrick Lamar (Ft. Kendrick Lamar),12146.0
Money Trees (OG),12125.0
"Highway To Hell (Ft. Jay Rock, Kendrick Lamar & ScHoolboy Q)",11635.0
Biggie,11544.0
I Do It for Hip Hop,11394.0
Poetic Justice (Retrial),11206.0
"Survive (Ft. Crooked I, Kendrick Lamar & Kobe)",11188.0
Shot Down (Ft. Punch),11127.0
Could It Be,11123.0
What the Deal,11084.0
Warning Shot,11070.0
Rare Breed,11032.0
FREEDOM (2016 BET Awards) (Ft. Kendrick Lamar),10953.0
Facebook Q&A 1/31/14,10928.0
Broke My Heart (Ft. G-Mack & ScHoolboy Q),10849.0
Paper Birds (Ft. Kendrick Lamar),10488.0
Goosebumps,10443.0
LMAO,10405.0
Pumped Up Kicks (Remix) (Ft. Foster the People),10269.0
Shake It Off (Freestyle),10238.0
Good Morning America,10197.0
Staircases (Ft. Kendrick Lamar),10178.0
They Be on It (Ft. Kendrick Lamar),10012.0
3 Minutes of Watts (Ft. Jay Rock),10010.0
The World is a Ghetto (Ft. Kendrick Lamar),10005.0
Diary of a Broke Nigga (Ft. Giddy & Kendrick Lamar),9982.0
"Something Dirty/Pic Got Us (Ft. Jadakiss, Kendrick Lamar & Styles P)",9963.0
Heaven Help Dem (Ft. Kendrick Lamar),9839.0
Bring The Pain Freestyle (On Cosmic Kev Show),9702.0
Illuminati Proper,9665.0
I Want It All (Ft. Juicy J & Kendrick Lamar),9655.0
"​good kid, m.A.A.d city [Booklet]",9563.0
Jump 2 (Ft. Kendrick Lamar),9537.0
"Cold Summer (Ft. Kendrick Lamar, Kevin Gates, Mac Miller & Rell)",9426.0
Writer At War: Kendrick Lamar’s XXL Cover Story,9300.0
Cross-Trainers (Ft. Blu & Kendrick Lamar),9233.0
The City (Ft. Kendrick Lamar),9175.0
Try Me (Ft. Punch),9155.0
Numbers on the Board (Freestyle) (Ft. Kendrick Lamar),9152.0
Lack of Better Words* (Ft. SZA),9066.0
"""Sing About Me"" Part 1 Video (Ft. Eddie Peake & Kendrick Lamar)",8990.0
Drop The Vibe Freestyle (Ft. Jay Rock),8966.0
How Far We Go (Uptown 81) (Ft. Kendrick Lamar & Mara Hruby),8963.0
Jay Rock (Ft. Kendrick Lamar & Major James),8875.0
Triangle Ship (Ft. Kendrick Lamar),8768.0
Big Boy's Neighborhood Freestyle 2014,8626.0
25 (Ft. Kendrick Lamar),8468.0
Eyes Above (Remix) (Ft. Kendrick Lamar),8427.0
Compton Life,8356.0
Freedom (Homecoming Live),8356.0
Ain't That Funkin' Kinda Hard on You? (Louie Vega Remix) (Ft. Kendrick Lamar),8316.0
100 Yard Dash,8154.0
Who Shot Ya (Freestyle),8138.0
Crazy Ass Bitch (Ft. Kendrick Lamar),7985.0
Dead Presidents III (Ft. Ab-Soul),7965.0
Before I Commit Suicide,7922.0
Own This City,7903.0
Go DJ (Ft. Dave Free),7853.0
"The Recipe (Black Hippy Remix) - Bonus Track (Ft. Ab-Soul, Dr. Dre, Jay Rock & ScHoolboy Q)",7847.0
To The Top (Ft. Kendrick Lamar),7797.0
Famous Pipe Game (Ft. Ab-Soul),7726.0
Want in Life,7486.0
"Cali Niggaz (Ft. Eastwood, Jay Rock, Kendrick Lamar, Quincey White, Topic & Ya Boy)",7281.0
The DAMN. Tour [Setlist],7258.0
Rock the Bells (Ft. Kendrick Lamar),7246.0
Crying Wolf (Ft. Kendrick Lamar),7184.0
"Go Off (Ft. Ace Hood, Kendrick Lamar & Swizz Beatz)",6987.0
Rossi Wine (Free My Mind) (Ft. Kendrick Lamar),6935.0
WIN (Remix) (Ft. Snoop Dogg),6864.0
Winner circle (Ft. Kendrick Lamar),6834.0
Taking Me Down (Ft. Kendrick Lamar),6815.0
American Skin (41 Shots) (Ft. Kendrick Lamar),6773.0
Drop It Like It's Hot (Freestyle) (Ft. Dave Free),6673.0
Yung Boys World,6599.0
PARTYNAUSEOUS (Demo) (Ft. Lady Gaga),6480.0
Money over Love (Ft. Kendrick Lamar),6293.0
"Do Yo Gudda (Remix) (Ft. Kendrick Lamar, Problem & YG)",6238.0
Comments on 2014 Grammys,6041.0
Cruel Freestyle (Ft. Jay Rock & Microphone Tone),5942.0
Blow Them Horns II (Ft. Kendrick Lamar),5882.0
Blow Them Horns (Ft. Punch),5876.0
Scars N Stars (Ft. Ab-Soul & Kendrick Lamar),5718.0
America,5713.0
Mandatory (Ft. Ab-Soul & Kendrick Lamar),5550.0
Welcome (Homecoming Live),5517.0
Grammy Family (Freestyle),5467.0
"F**kin’ Problems (Clean Version) (Ft. 2 Chainz, Drake & Kendrick Lamar)",5464.0
Ball Game (Ft. Kendrick Lamar),5446.0
Don't Jump (Demo) (Ft. Kanye West),5324.0
Girls In America (Ft. Kendrick Lamar),5287.0
I Remember (Ft. Bryan Roberts & Kendrick Lamar),5244.0
Kendrick Lamar Sway In The Morning Freestyle (Ft. Kendrick Lamar),5180.0
Watch Yo Lady (Ft. Kendrick Lamar),5159.0
Ride Up (Ft. Freeway & Joe Budden),5155.0
They Say (Ft. Kendrick Lamar),5075.0
2DopeBoyz Freestyle,
Act Tuff (Ft. Kendrick Lamar),
Afterglow (Outro) (Ft. Kendrick Lamar),
"All Day (2 Chainz Version) (Ft. 2 Chainz, Allan Kingdom, Paul McCartney & Theophilus London)",
All the Stars,
All the Stars (Demo),
Alone,
"Among Us (Ft. The Creator, Future & James Blake, Jay Rock & Kendrick Lamar)",
Artist Archive: Kendrick Lamar (Ft. Kendrick Lamar),
A Song For Buffy (Freestyle),
Back In The Day (Ft. Kendrick Lamar & Kobe),
Back In Traffic,
Backseat XE3 (Kendrick Lamar X Whethan) (Ft. Kendrick Lamar & Whethan),
Bad Blood,
Ballin (Ft. Jay Rock & Kendrick Lamar),
Bang Bang (Ft. Jay Rock),
Bars (Interlude),
"Basic (Ft. The Coup, Kendrick Lamar, Master P & Run–D.M.C.)",
Basquet,
Before He Was Famous Freestyle (Nickerson Gardens Cypha),
Behind the Walls: A Black Comedy,
Best Rap Album Acceptance Speech 2018 Grammys,
Better | Mamba Forever (Ft. Kendrick Lamar),
Big Boy's Neigborhood Freestyle,
Big Guns (Ft. Kendrick Lamar),
"Bitch, Don’t Kill My Vibe (Ft. Clara Yolks)",
"Bitch, Don't Kill My Vibe - Edited Version",
Black Hippy (Ft. Black Hippy),
Blessed My (Ft. Ab-Soul & Kendrick Lamar),
"Blitzkrieg Bop / Backseat Freestyle / Una (Ft. Kendrick Lamar, Ramones & Simina Grigoriu)",
Bloody Hands (Ft. James Blake & Raekwon),
Bloody Hands (Demo) (Ft. James Blake & Raekwon),
Bonnaroo Freestyle (2015) (Ft. Chance the Rapper & Kendrick Lamar),
Boomboxx (Ft. Chino XL & Kendrick Lamar),
"Broke My Heart (Ft. G-Mack, Kendrick Lamar & ScHoolboy Q)",
"Bullet (Ft. Busta Rhymes, Eminem, Kendrick Lamar & Yelawolf)",
Butterfly (Ft. Ed Sheeran),
Cali's Finest,
Can't Be Faded (Ft. Dave Free),
