id,title,views,lyric_url,art_url,release_date
6683214,All the Stars,,https://genius.com/Vitamin-string-quartet-all-the-stars-lyrics,https://images.genius.com/aff0b2be9db8bcabb69157f9f3a28771.1000x1000x1.jpg,2018-08-10
3412272,All the Stars,2008257,https://genius.com/Kendrick-lamar-and-sza-all-the-stars-lyrics,https://images.genius.com/21fde91583f0ea888b6281d4e6ba3e2c.1000x1000x1.jpg,2018-01-04
3494759,All The Stars (Album Version),291503,https://genius.com/Kendrick-lamar-and-sza-all-the-stars-album-version-lyrics,https://images.genius.com/25f3a7de970ce9263ac2f06946088261.1000x1000x1.jpg,2018-02-02
4390540,All the Stars (Demo),,https://genius.com/Kendrick-lamar-all-the-stars-demo-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,None
1394820,Alone,,https://genius.com/The-music-alone-lyrics,https://images.genius.com/6b7b46c330855bc710bec4d0ef9aa3ca.800x800x1.jpg,None
722278,Alright,3434447,https://genius.com/Kendrick-lamar-alright-lyrics,https://images.genius.com/6c4cde12a02ad49bebff62799680b04e.1000x1000x1.png,2015-03-15
2156442,Alright (BET Version),29467,https://genius.com/Kendrick-lamar-alright-bet-version-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2015-06-28
2162382,Alright (Music Video),76791,https://genius.com/Kendrick-lamar-alright-music-video-lyrics,https://images.genius.com/5433b7013185948f409fd123a7e5489f.1000x1000x1.jpg,2015-06-30
2160886,"""Alright"" Video Breakdown (Ft. Kendrick Lamar)",14304,https://genius.com/Genius-alright-video-breakdown-annotated,https://images.genius.com/8ed669cadd956443e29c70361ec4f372.1000x1000x1.png,None
3462346,America,5713,https://genius.com/Bekon-america-lyrics,https://images.genius.com/720b372c8443014667b1d4987bc3fa4e.500x500x1.jpg,2018-01-24
3351445,American Dream (Ft. J. Cole & Kendrick Lamar),225990,https://genius.com/Jeezy-american-dream-lyrics,https://images.genius.com/645fca71831b59a881058d9b5962da87.685x685x1.png,2017-12-14
2879462,American Skin (41 Shots) (Ft. Kendrick Lamar),6773,https://genius.com/Mary-j-blige-american-skin-41-shots-lyrics,https://images.genius.com/e5729b21dca3bc18f3a2850015be3bba.1000x1000x1.jpg,2016-10-21
3243964,American Soul,44038,https://genius.com/U2-american-soul-lyrics,https://images.genius.com/94e5f27be876d6f3055e1e8d99deebe2.1000x1000x1.jpg,2017-11-17
64033,A Milli (Freestyle),58810,https://genius.com/Kendrick-lamar-a-milli-freestyle-lyrics,https://images.genius.com/8b626036c563b0aefa7a5b83f1fb9302.750x750x1.jpg,2009-01-30
6853471,"Among Us (Ft. The Creator, Future & James Blake, Jay Rock & Kendrick Lamar)",,https://genius.com/Barack-obama-and-kanye-west-among-us-lyrics,https://assets.genius.com/images/default_cover_image.png?1628630140,1270-03-09
728126,Another Nigga  (To Pimp a Butterfly),143265,https://genius.com/Kendrick-lamar-another-nigga-to-pimp-a-butterfly-annotated,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2015-03-15
3238341,Artist Archive: Kendrick Lamar (Ft. Kendrick Lamar),,https://genius.com/Genius-artist-archive-kendrick-lamar-annotated,https://images.genius.com/91232510ea8e940abb46f6c8880a7f67.640x640x1.jpg,2017-09-15
339612,A Song For Buffy (Freestyle),,https://genius.com/Kendrick-lamar-a-song-for-buffy-freestyle-lyrics,https://images.genius.com/0d736130ef89ba0b866b3b01fad325c1.500x500x1.jpg,2005-06-01
317207,Autumn Leaves (Ft. Kendrick Lamar),932744,https://genius.com/Chris-brown-autumn-leaves-lyrics,https://images.genius.com/c1ddf1f42fa31b34551df942e0395efb.630x630x1.jpg,2014-09-16
54712,Average Joe,186331,https://genius.com/Kendrick-lamar-average-joe-lyrics,https://images.genius.com/9e1efc6d0a7044dbf2f0776a12ed85b8.620x620x1.jpg,2010-09-14
376535,Babylon (Ft. Kendrick Lamar),431176,https://genius.com/Sza-babylon-lyrics,https://images.genius.com/0d62681b92032b4b11a7f9308880ba57.600x600x1.jpg,2014-04-08
750103,Back In The Day (Ft. Kendrick Lamar & Kobe),,https://genius.com/Scoe-back-in-the-day-lyrics,https://images.genius.com/0f5add9425e81ee348e6d7fa4a030cda.500x500x1.jpg,2015-09-22
6881201,Back In Traffic,,https://genius.com/Hit-boy-back-in-traffic-lyrics,https://images.genius.com/f5bcd563f493532103887302462ef8b4.1000x1000x1.png,2021-06-04
92853,Backseat Freestyle,3722942,https://genius.com/Kendrick-lamar-backseat-freestyle-lyrics,https://images.genius.com/d144f37c7e665e96187e351ea0caa05a.500x500x1.jpg,2012-10-15
6232954,Backseat XE3 (Kendrick Lamar X Whethan) (Ft. Kendrick Lamar & Whethan),,https://genius.com/Avstin-james-backseat-xe3-kendrick-lamar-x-whethan-lyrics,https://assets.genius.com/images/default_cover_image.png?1628630140,2015-07-16
376444,Backwards (Ft. Tame Impala),69294,https://genius.com/Kendrick-lamar-backwards-lyrics,https://images.genius.com/8c5fad4463f0a5361ac28f8a586d346b.600x600x1.jpg,2014-03-07
5175092,Bad Blood,,https://genius.com/Kidz-bop-kids-bad-blood-lyrics,https://images.genius.com/f5215c99834625d3f07ad17e27272c36.500x500x1.jpg,2015-10-16
1866151,Bad Blood (Remix) (Ft. Kendrick Lamar),998269,https://genius.com/Taylor-swift-bad-blood-remix-lyrics,https://images.genius.com/4134df3e83bf9e082397ab70e5eef40b.1000x1000x1.png,2015-05-17
88984,Ball Game (Ft. Kendrick Lamar),5446,https://genius.com/Smoke-dza-ball-game-lyrics,https://images.genius.com/58a39a8ba70df34bd69015ab32f078e5.500x500x1.jpg,2011-08-30
1808493,Ballin (Ft. Jay Rock & Kendrick Lamar),,https://genius.com/Bow-wow-ballin-lyrics,https://images.genius.com/6ded582dfcaf893272dfc728a0c1068f.300x300x1.jpg,None
3536249,Bang Bang (Ft. Jay Rock),,https://genius.com/Kendrick-lamar-bang-bang-lyrics,https://images.genius.com/f384e4a2d846f755af26a400f6e2436d.500x500x1.jpg,2009-05-26
49458,Barbed Wire (Ft. Ash Riser),112523,https://genius.com/Kendrick-lamar-barbed-wire-lyrics,https://images.genius.com/9e1efc6d0a7044dbf2f0776a12ed85b8.620x620x1.jpg,2010-09-14
5961932,Bars (Interlude),,https://genius.com/Kendrick-lamar-bars-interlude-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2020-06-16
6995074,"Basic (Ft. The Coup, Kendrick Lamar, Master P & Run–D.M.C.)",,https://genius.com/G-eazy-basic-lyrics,https://images.genius.com/2c09ce642a13c0df6e5fa3cfef4c21ad.400x400x1.png,2017-10-05
696679,Basquet,,https://genius.com/Kendrick-lamar-basquet-lyrics,https://images.rapgenius.com/b26b4cfb6e7816053cb9c333a4dde7a3.275x275x1.jpg,None
61224,"B-Boyz (Ft. Ace Hood, Birdman, Kendrick Lamar & Mack Maine)",130270,https://genius.com/Dj-khaled-b-boyz-lyrics,https://images.genius.com/ac26f16779582a2a239a425633d7dc5a.1000x1000x1.jpg,2012-08-21
328131,Before He Was Famous Freestyle (Nickerson Gardens Cypha),,https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,None
2285167,Before I Commit Suicide,7922,https://genius.com/Kendrick-lamar-before-i-commit-suicide-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2014-01-09
2343453,Behind the Walls: A Black Comedy,,https://genius.com/Kendrick-lamar-behind-the-walls-a-black-comedy-annotated,https://images.rapgenius.com/a0cc83eaa36dc85bc39818df061eedfc.1000x417x1.png,2015-10-28
86359,Bend Ya (Official) (Ft. Frank Ocean & Kendrick Lamar),12888,https://genius.com/Mann-bend-ya-official-lyrics,https://images.genius.com/f2c4c0bc34c94647ab1b92e581a32eab.640x640x1.jpg,2013-05-17
85746,"Bend Ya (Remix) (Ft. BLESSED, Frank Ocean, Kendrick Lamar & Shawn Chrystopher)",64652,https://genius.com/Mann-bend-ya-remix-lyrics,https://s3.amazonaws.com/rapgenius/220px-Mann_Pub_2012_4.jpg,None
3478100,Best Rap Album Acceptance Speech 2018 Grammys,,https://genius.com/Kendrick-lamar-best-rap-album-acceptance-speech-2018-grammys-annotated,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2018-01-28
66747,Best Rapper Under 25,81899,https://genius.com/Kendrick-lamar-best-rapper-under-25-lyrics,https://images.genius.com/8b626036c563b0aefa7a5b83f1fb9302.750x750x1.jpg,2009-01-30
77617,BET BackRoom Freestyle (Ft. BET),17880,https://genius.com/Kendrick-lamar-bet-backroom-freestyle-lyrics,https://images.genius.com/0fd2397265910e9f72dcf0c68b690ea7.304x172x1.png,2019-01-04
5897819,Better | Mamba Forever (Ft. Kendrick Lamar),,https://genius.com/Nike-better-mamba-forever-annotated,https://images.genius.com/dd1abcd124e42e052c76767e1b19e9b8.606x606x1.jpg,2020-08-23
154311,Better Off (Ft. Kendrick Lamar),23632,https://genius.com/Quadron-better-off-lyrics,https://images.genius.com/121107cfb53fce939d15e1808c6ef5e4.660x660x1.jpg,2013-05-13
67140,Beyonce,129607,https://genius.com/Kendrick-lamar-beyonce-lyrics,https://images.genius.com/e529062dd4f0bfb53bf91c48ec86f0a0.970x824x1.jpg,2009-11-10
365075,Big Boy's Neigborhood Freestyle,,https://genius.com/Kendrick-lamar-big-boys-neigborhood-freestyle-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2012-10-22
524704,Big Boy's Neighborhood Freestyle 2014,8626,https://genius.com/Kendrick-lamar-big-boys-neighborhood-freestyle-2014-lyrics,https://images.rapgenius.com/d6853a10319337f9a3e69b777c026f86.600x400x1.jpg,2014-09-24
181123,Biggie,11544,https://genius.com/Kendrick-lamar-biggie-lyrics,https://images.genius.com/1d86c80235f3ffef2492fec6dac85b33.500x500x1.jpg,None
2458499,Big Guns (Ft. Kendrick Lamar),,https://genius.com/Jay-rock-big-guns-lyrics,https://images.genius.com/0909fd9b2d6410f70158ba9b3977a31a.224x224x1.jpg,None
3487555,Big Shot,620943,https://genius.com/Kendrick-lamar-and-travis-scott-big-shot-lyrics,https://images.genius.com/5da99b229b4f8dd8a669fa9a44b39b95.640x640x1.jpg,2018-02-09
53627,Birds & The Beez (Ft. Kendrick Lamar),129661,https://genius.com/Schoolboy-q-birds-and-the-beez-lyrics,https://images.genius.com/4e5d39814aadb84f19c68cb7ca188a5d.950x946x1.jpg,2011-01-11
90473,"Bitch, Don't Kill My Vibe",4827166,https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics,https://images.genius.com/eebb4f6f0e6b540aa56f7b5b43391d18.600x600x1.jpg,2012-10-22
5635330,"Bitch, Don’t Kill My Vibe (Ft. Clara Yolks)",,https://genius.com/Jefry-bitch-dont-kill-my-vibe-lyrics,https://images.genius.com/165c9704bb0c9e2c60e0275c119ada67.256x256x1.jpg,2020-05-21
4495896,"Bitch, Don't Kill My Vibe - Edited Version",,https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-edited-version-lyrics,https://images.genius.com/fa13ffd065d9b55d7babcf2504974953.220x220x1.jpg,2012-10-22
156332,"Bitch, Don't Kill My Vibe (International Remix) (Ft. Emeli Sandé)",50796,https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-international-remix-lyrics,https://images.rapgenius.com/87afa252962f2cf7bbc2e42cdc10465c.1000x1000x1.jpg,2012-10-28
193079,"Bitch, Don't Kill My Vibe (Original Version) (Ft. Lady Gaga)",28273,https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-original-version-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,2012-11-07
128497,"Bitch, Don't Kill My Vibe (Remix) (Ft. JAY-Z)",1163177,https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics,https://images.rapgenius.com/ecac7801d49c86c50079505edef2a8dc.500x500x1.jpg,2013-03-19
129530,Bitch I'm In The Club,28889,https://genius.com/Kendrick-lamar-bitch-im-in-the-club-lyrics,https://images.genius.com/8b626036c563b0aefa7a5b83f1fb9302.750x750x1.jpg,2009-01-30
90481,Black Boy Fly,499195,https://genius.com/Kendrick-lamar-black-boy-fly-lyrics,https://images.genius.com/2625578884f4cc99f060bc75a16bf600.1000x1000x1.jpg,2012-10-22
2378979,Black Friday,1500758,https://genius.com/Kendrick-lamar-black-friday-lyrics,https://images.genius.com/3cddcaf0c0db7784207c749731dadf11.1000x1000x1.jpg,2015-11-27
3275309,Black Hippy (Ft. Black Hippy),,https://genius.com/Jay-rock-black-hippy-lyrics,https://images.genius.com/5a0744b3b308c718fd396c75bd8a924e.500x500x1.jpg,None
154744,Black Hippy Freestyle,22897,https://genius.com/Black-hippy-black-hippy-freestyle-lyrics,https://images.genius.com/92ed07cac7ed2346acbaaf80783a3466.426x426x1.jpg,2011-01-11
73852,Black Lip Bastard (Remix) (Ft. Black Hippy),367281,https://genius.com/Ab-soul-black-lip-bastard-remix-lyrics,https://images.genius.com/36147c3e9b6fcfa747233bb1c340f424.500x500x1.jpg,2012-05-11
3487545,Black Panther,330139,https://genius.com/Kendrick-lamar-black-panther-lyrics,https://images.genius.com/5da99b229b4f8dd8a669fa9a44b39b95.640x640x1.jpg,2018-02-09
2670504,Black THougHts,67734,https://genius.com/Schoolboy-q-black-thoughts-lyrics,https://images.genius.com/4387645fa58bf58f64c2e4f8733125be.1000x1000x1.jpg,2016-07-08
68865,Blame God,19113,https://genius.com/Kendrick-lamar-blame-god-lyrics,https://images.genius.com/0d736130ef89ba0b866b3b01fad325c1.500x500x1.jpg,2005-06-01
62793,Blessed (Ft. Kendrick Lamar),1034709,https://genius.com/Schoolboy-q-blessed-lyrics,https://images.genius.com/41740fc8a4f359c7d4a16721d87de950.1000x1000x1.jpg,2012-01-14
5488130,Blessed My (Ft. Ab-Soul & Kendrick Lamar),,https://genius.com/Schoolboy-q-blessed-my-lyrics,https://images.genius.com/77150598595e7438b6824323f5bd74d2.1000x1000x1.png,2012-01-14
6260359,"Blitzkrieg Bop / Backseat Freestyle / Una (Ft. Kendrick Lamar, Ramones & Simina Grigoriu)",,https://genius.com/Grimes-blitzkrieg-bop-backseat-freestyle-una-lyrics,https://images.genius.com/af24033b579ebfd59fa2361857ccac31.1000x1000x1.png,None
3047129,BLOOD.,1087550,https://genius.com/Kendrick-lamar-blood-lyrics,https://images.genius.com/f3f77222e1b615e0a10354ea6282ff22.1000x1000x1.png,2017-04-14
134622,Blood Sport (Freestyle),15004,https://genius.com/Kendrick-lamar-blood-sport-freestyle-lyrics,https://images.genius.com/0d736130ef89ba0b866b3b01fad325c1.500x500x1.jpg,2005-06-01
4571804,Bloody Hands (Ft. James Blake & Raekwon),,https://genius.com/Kendrick-lamar-bloody-hands-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,None
4704372,Bloody Hands (Demo) (Ft. James Blake & Raekwon),,https://genius.com/Kendrick-lamar-bloody-hands-demo-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,None
3487576,Bloody Waters,152538,https://genius.com/Ab-soul-anderson-paak-and-james-blake-bloody-waters-lyrics,https://images.genius.com/5da99b229b4f8dd8a669fa9a44b39b95.640x640x1.jpg,2018-02-09
51803,Blow My High (Members Only),617395,https://genius.com/Kendrick-lamar-blow-my-high-members-only-lyrics,https://images.genius.com/1f3cde1d04f886d4d4eb88a2c26a4e4d.1000x1000x1.jpg,2011-07-02
127989,Blow Them Horns (Ft. Punch),5876,https://genius.com/Kendrick-lamar-blow-them-horns-lyrics,https://images.genius.com/0d736130ef89ba0b866b3b01fad325c1.500x500x1.jpg,2005-06-01
146385,Blow Them Horns II (Ft. Kendrick Lamar),5882,https://genius.com/Ab-soul-blow-them-horns-ii-lyrics,https://images.genius.com/998194aac1a05158c79d419c442b68ce.400x400x1.jpg,2009-01-08
2131719,Bonnaroo Freestyle (2015) (Ft. Chance the Rapper & Kendrick Lamar),,https://genius.com/Earth-wind-and-fire-bonnaroo-freestyle-2015-lyrics,https://images.rapgenius.com/75ceaabfbaeaa536ad69a4c625dd0ac0.640x309x1.jpg,2015-06-13
413255,Boomboxx (Ft. Chino XL & Kendrick Lamar),,https://genius.com/Big-steele-boomboxx-lyrics,https://assets.genius.com/images/default_cover_image.png?1628630140,2012-01-01
93661,Bring The Pain Freestyle (On Cosmic Kev Show),9702,https://genius.com/Kendrick-lamar-bring-the-pain-freestyle-on-cosmic-kev-show-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,None
1788537,Broke My Heart (Ft. G-Mack & ScHoolboy Q),10849,https://genius.com/Kendrick-lamar-broke-my-heart-lyrics,https://images.rapgenius.com/79340562821e3449a6df3155c59ee061.1000x1000x1.png,None
6318453,"Broke My Heart (Ft. G-Mack, Kendrick Lamar & ScHoolboy Q)",,https://genius.com/Mackwop-broke-my-heart-lyrics,https://images.genius.com/d6d5fce61f4ae01864b0ff7d66a356f7.352x352x1.jpg,2020-12-27
6513988,"Bullet (Ft. Busta Rhymes, Eminem, Kendrick Lamar & Yelawolf)",,https://genius.com/Walyo-bullet-lyrics,https://assets.genius.com/images/default_cover_image.png?1628630140,2021-01-11
55602,Buried Alive Interlude (Ft. Kendrick Lamar),820334,https://genius.com/Drake-buried-alive-interlude-lyrics,https://images.genius.com/843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,2011-11-15
4611982,Butterfly (Ft. Ed Sheeran),,https://genius.com/Kendrick-lamar-butterfly-lyrics,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg,None
450581,"Buy the World (Ft. Future, Kendrick Lamar & Lil Wayne)",298326,https://genius.com/Mike-will-made-it-buy-the-world-lyrics,https://images.genius.com/ce67e718531ff3a919e2a8b411136b39.500x500x1.jpg,2014-06-17
2670513,By Any Means,192123,https://genius.com/Schoolboy-q-by-any-means-lyrics,https://images.genius.com/4387645fa58bf58f64c2e4f8733125be.1000x1000x1.jpg,2016-06-24
178458,"Cali Niggaz (Ft. Eastwood, Jay Rock, Kendrick Lamar, Quincey White, Topic & Ya Boy)",7281,https://genius.com/The-game-cali-niggaz-lyrics,https://images.genius.com/fd823b680b687dac4f58ed6122bbab9b.500x500x1.jpg,2007-04-08
493765,Cali's Finest,,https://genius.com/K-dot-and-jay-rock-calis-finest-lyrics,https://images.genius.com/aacc1a1c366f29ed983d0733b17b1abb.324x324x1.jpg,2007-12-24
496535,Can't Be Faded (Ft. Dave Free),,https://genius.com/K-dot-and-jay-rock-cant-be-faded-lyrics,https://images.genius.com/aacc1a1c366f29ed983d0733b17b1abb.324x324x1.jpg,2007-12-24
215590,Can't Kill Ma Vibe (Ft. Kendrick Lamar),,https://genius.com/Tumany-7nims-cant-kill-ma-vibe-lyrics,https://images.genius.com/562247e6c8c5115990d5f473a3acd279.1000x1000x1.jpg,None
65722,Cartoon & Cereal (Ft. Gunplay),1044549,https://genius.com/Kendrick-lamar-cartoon-and-cereal-lyrics,https://images.rapgenius.com/c41659b04cea4d36f18ae17e6fc23e2b.500x500x1.jpg,2012-02-15
